Name,p_2014,p_2015,p_2016,p_2017,p_2018,p_2019,p_2020,p_2021,p_2022
QC7.SI,0.2572459876537323,0.4416660070419311,0.5625,0.5666660070419312,0.5249999761581421,0.4166660010814667,0.3791660070419311,0.3666659891605377,0.5699999928474426
QES.SI,0.125,0.2224999964237213,0.1599999964237213,0.262499988079071,0.5600000023841858,0.6499999761581421,0.4850000143051147,0.4550000131130218,0.4650000035762787
QS9.SI,0.3000000119209289,0.4000000059604645,0.1319999992847442,0.1550000011920929,0.1410000026226043,0.0280000008642673,0.1030000001192092,0.0939999967813491,0.0689999982714653
RE4.SI,0.3199999928474426,0.2049999982118606,0.1220000013709068,0.2549999952316284,0.2599999904632568,0.1990000009536743,0.1420000046491623,0.1840000003576278,0.3650000095367431
RQ1.SI,0.8149999976158142,0.7950000166893005,0.4650000035762787,0.3549999892711639,0.375,0.3000000119209289,0.3350000083446502,0.3100000023841858,0.2549999952316284
RS1.SI,0.0560000017285347,0.0700000002980232,0.0590000003576278,0.0260000005364418,0.0199999995529651,0.025000000372529,0.0199999995529651,0.0189999993890523,0.0099999997764825
RW0U.SI,0.8149999976158142,1.0199999809265137,0.8399999737739563,0.9549999833106996,1.2599999904632568,1.2799999713897705,1.190000057220459,0.9800000190734864,1.0800000429153442
S07.SI,12.479999542236328,10.100000381469728,7.050000190734863,8.489999771118164,19.520000457763672,10.18000030517578,7.650000095367432,6.650000095367432,6.170000076293945
S08.SI,1.3350000381469729,2.140000104904175,1.3350000381469729,1.465000033378601,1.2899999618530271,0.9850000143051147,0.8949999809265137,0.6899999976158142,0.6349999904632568
S19.SI,0.2249999940395355,0.3000000119209289,0.2849999964237213,0.2450000047683715,0.3100000023841858,0.2899999916553497,0.2899999916553497,0.25,0.2800000011920929
S20.SI,3.490000009536743,3.0199999809265137,1.8899999856948853,1.950000047683716,2.319999933242798,2.059999942779541,2.039999961853028,2.2100000381469727,3.130000114440918
S23.SI,1.2004090547561646,1.065000057220459,0.8650000095367432,0.8600000143051147,1.0499999523162842,0.915000021457672,0.8899999856948853,0.8700000047683716,0.8299999833106995
S29.SI,0.4099999964237213,0.3499999940395355,0.2949999868869781,0.2899999916553497,0.3549999892711639,0.2899999916553497,0.209999993443489,0.1800000071525573,0.1860000044107437
S35.SI,1.3350000381469729,1.3049999475479126,1.1799999475479126,1.2200000286102295,1.559999942779541,1.5199999809265137,1.4199999570846558,1.340000033378601,1.5099999904632568
S3N.SI,0.5699999928474426,0.5649999976158142,0.6299999952316284,0.0610000006854534,0.0370000004768371,0.0179999992251396,0.0179999992251396,0.0160000007599592,0.0260000005364418
S41.SI,2.720000028610229,2.630000114440918,2.150000095367432,2.2100000381469727,2.690000057220459,2.619999885559082,2.5999999046325684,2.4200000762939453,2.430000066757202
S44.SI,1.1549999713897705,1.2000000476837158,0.9649999737739564,0.8600000143051147,0.9350000023841858,0.8700000047683716,0.9300000071525574,1.0199999809265137,1.3300000429153442
S51.SI,4.059999942779541,3.0,1.5549999475479126,1.4900000095367432,2.5,1.600000023841858,1.159999966621399,0.1449999958276748,0.0820000022649765
S56.SI,0.1480000019073486,0.2800000011920929,0.1949999928474426,0.1620000004768371,0.2249999940395355,0.1809999942779541,0.1469999998807907,0.2450000047683715,0.5
S58.SI,3.130000114440918,2.9600000381469727,3.890000104904175,5.28000020980835,5.53000020980835,4.840000152587891,4.559999942779541,3.849999904632568,3.910000085830689
S59.SI,4.929999828338623,4.360000133514404,3.4600000381469727,3.490000009536743,3.3399999141693115,2.4800000190734863,2.619999885559082,1.899999976158142,2.140000104904175
